category,recipient,year ordered,year delivered
artillery,Portugal,-1998,2000
artillery,Romania,2018,2020
artillery,Saudi Arabia,-2001,2002-2004
artillery,Saudi Arabia,-2009,2010-2013
artillery,Saudi Arabia,-2012,2013
artillery,Singapore,2008,2010-2011
artillery,South Korea,2002,2002-2004
artillery,Thailand,2012,2013
artillery,UAE,2008,2011
artillery,UAE,2015,2018
armoured vehicles,Canada,2000,2002-2009
armoured vehicles,Canada,2000,2003-2009
armoured vehicles,Canada,2012,2016-2019
armoured vehicles,Egypt,1999,2002-2003
armoured vehicles,Egypt,2001,2004-2005
armoured vehicles,Egypt,2003,2005-2008
armoured vehicles,Egypt,2004,2007
armoured vehicles,Egypt,2008,2009-2013
armoured vehicles,Egypt,2011,2015-2018
armoured vehicles,Israel,2011,2014-2019
armoured vehicles,Mexico,-2012,2012-2014
armoured vehicles,Pakistan,1998,2000-2014
armoured vehicles,South Korea,1989,1993-2006
armoured vehicles,South Korea,-1994,1999-2009
armoured vehicles,South Korea,1995,1997-2001
armoured vehicles,South Korea,2000,2001-2006
armoured vehicles,South Korea,2006,2006-2010
armoured vehicles,Turkey,1988,1990-2000
armoured vehicles,Turkey,2000,2001-2004
armoured vehicles,United Kingdom,2006,2006-2007
armoured vehicles,United Kingdom,2008,2009
armoured vehicles,United Kingdom,2008,2009
armoured vehicles,United Kingdom,2009,2010-2011
armoured vehicles,United Kingdom,2009,2009-2010
armoured vehicles,Afghanistan,-2004,2005
armoured vehicles,Afghanistan,2006,2007-2008
armoured vehicles,Afghanistan,2008,2008-2011
armoured vehicles,Afghanistan,2010,2011-2013
armoured vehicles,Afghanistan,2010,2012
armoured vehicles,Afghanistan,2010,2011-2012
armoured vehicles,Afghanistan,2011,2011-2012
armoured vehicles,Afghanistan,2011,2012-2013
armoured vehicles,Afghanistan,2011,2012
armoured vehicles,Afghanistan,2012,2014
armoured vehicles,Afghanistan,-2012,2013-2014
armoured vehicles,Afghanistan,2013,2014-2015
armoured vehicles,Afghanistan,2014,2015
armoured vehicles,Afghanistan,2015,2015
armoured vehicles,Afghanistan,2016,2016-2017
armoured vehicles,Afghanistan,2016,2017
armoured vehicles,Afghanistan,2017,2018
armoured vehicles,Afghanistan,2017,2018-2019
armoured vehicles,Afghanistan,2017,2018
armoured vehicles,African Union**,-2015,2015
armoured vehicles,Albania,2016,2017
armoured vehicles,Albania,2017,2017-2018
armoured vehicles,Albania,2018,2019
armoured vehicles,Algeria,-2017,2018
armoured vehicles,Argentina,1999,2000
armoured vehicles,Argentina,1999,2000
armoured vehicles,Australia,2004,2006-2007
armoured vehicles,Australia,2004,2006-2007
armoured vehicles,Australia,2015,2016
armoured vehicles,Bahrain,1999,2000
armoured vehicles,Bahrain,-2000,2001
armoured vehicles,Bahrain,2003,2005
armoured vehicles,Bahrain,2009,2010
armoured vehicles,Bahrain,-2011,2017-2019
armoured vehicles,Brazil,2015,2017-2018
armoured vehicles,Brazil,2015,2016
armoured vehicles,Brazil,2015,2016
armoured vehicles,Brazil,2018,2018
armoured vehicles,Bulgaria,2008,2008
armoured vehicles,Bulgaria,2014,2015
armoured vehicles,Burundi,2014,2015
armoured vehicles,Burundi,2016,2016
armoured vehicles,Cameroon,2015,2015
armoured vehicles,Canada,2007,2007
armoured vehicles,Canada,2008,2009
armoured vehicles,Chad,2016,2016-2017
armoured vehicles,Chile,2001,2004
armoured vehicles,Colombia,2009,2010
armoured vehicles,Colombia,2011,2013-2014
armoured vehicles,Colombia,2016,2016
armoured vehicles,Croatia,2013,2014
armoured vehicles,Croatia,2013,2014
armoured vehicles,Croatia,2013,2014
armoured vehicles,Croatia,2014,2014
armoured vehicles,Croatia,2015,2016
armoured vehicles,Denmark,2017,2017
armoured vehicles,Djibouti,2013,2014
armoured vehicles,Djibouti,-2014,2014
armoured vehicles,Djibouti,-2015,2016
armoured vehicles,Djibouti,2018,2019
armoured vehicles,Egypt,1998,2000-2002
armoured vehicles,Egypt,2000,2001-2002
armoured vehicles,Egypt,2001,2001-2002
armoured vehicles,Egypt,-2001,2003-2006
armoured vehicles,Egypt,2001,2003-2004
armoured vehicles,Egypt,2001,2002
armoured vehicles,Egypt,2003,2004
armoured vehicles,Egypt,2013,2015
armoured vehicles,Egypt,2015,2016-2019
armoured vehicles,Egypt,2015,2016
armoured vehicles,Egypt,2015,2016
armoured vehicles,Egypt,2017,2018
armoured vehicles,France,2008,2008
armoured vehicles,Georgia,-2014,2014
armoured vehicles,Greece,-1998,1998-2000
armoured vehicles,Greece,2003,2004-2005
armoured vehicles,Greece,2010,2010
armoured vehicles,Greece,-2013,2014-2015
armoured vehicles,Greece,2013,2014-2015
armoured vehicles,Hungary,2009,2009
armoured vehicles,Hungary,2010,2010-2011
armoured vehicles,Hungary,2010,2010-2011
armoured vehicles,Hungary,2013,2013
armoured vehicles,Iraq,2004,2004-2005
armoured vehicles,Iraq,-2004,2005
armoured vehicles,Iraq,2005,2006-2009
armoured vehicles,Iraq,2006,2006-2007
armoured vehicles,Iraq,2006,2007
armoured vehicles,Iraq,-2006,2006-2007
armoured vehicles,Iraq,2007,2008
armoured vehicles,Iraq,2008,2008-2009
armoured vehicles,Iraq,-2008,2010
armoured vehicles,Iraq,-2008,2010
armoured vehicles,Iraq,-2008,2010-2012
armoured vehicles,Iraq,-2008,2010
armoured vehicles,Iraq,2009,2010
armoured vehicles,Iraq,2010,2011-2013
armoured vehicles,Iraq,2010,2011-2013
armoured vehicles,Iraq,2010,2011
armoured vehicles,Iraq,2011,2012
armoured vehicles,Iraq,2012,2014
armoured vehicles,Iraq,2014,2014-2015
armoured vehicles,Iraq,2014,2014-2015
armoured vehicles,Iraq,2014,2015-2017
armoured vehicles,Iraq,2014,2015-2017
armoured vehicles,Iraq,2014,2015
armoured vehicles,Iraq,2014,2015
armoured vehicles,Iraq,2015,2015
armoured vehicles,Iraq,2015,2015
armoured vehicles,Iraq,2016,2016
armoured vehicles,Iraq,-2016,2016
armoured vehicles,Iraq,2017,2017
armoured vehicles,Israel,-2002,2003-2004
armoured vehicles,Israel,2002,2003
armoured vehicles,Israel,2012,2013-2015
armoured vehicles,Italy,1999,2002
armoured vehicles,Italy,2008,2008
armoured vehicles,Japan,-2013,2014-2018
armoured vehicles,Jordan,1999,2000-2001
armoured vehicles,Jordan,2004,2004
armoured vehicles,Jordan,2012,2013
armoured vehicles,Jordan,2012,2013
armoured vehicles,Jordan,-2012,2016
armoured vehicles,Jordan,2013,2014
armoured vehicles,Jordan,2013,2014
armoured vehicles,Jordan,2013,2015
armoured vehicles,Jordan,2014,2016-2018
armoured vehicles,Jordan,-2014,2018-2019
armoured vehicles,Jordan,2016,2017-2018
armoured vehicles,Kazakhstan,2007,2008-2009
armoured vehicles,Kuwait,2007,2010-2011
armoured vehicles,Latvia,2010,2010
armoured vehicles,Latvia,2010,2010
armoured vehicles,Lebanon,1999,2000
armoured vehicles,Lebanon,2012,2013
armoured vehicles,Lebanon,-2014,2015-2016
armoured vehicles,Lebanon,-2016,2017-2018
armoured vehicles,Lebanon,2016,2017
armoured vehicles,Lebanon,2017,2019
armoured vehicles,Lebanon,-2018,2019
armoured vehicles,Lithuania,-2004,2004-2005
armoured vehicles,Macedonia,-2005,2006
armoured vehicles,Mexico,-2010,2010-2011
armoured vehicles,Mexico,-2011,2011
armoured vehicles,Mexico,2014,2015-2016
armoured vehicles,Morocco,-2005,2006
armoured vehicles,Morocco,2007,2009-2011
armoured vehicles,Morocco,-2012,2013
armoured vehicles,Morocco,-2012,2013
armoured vehicles,Morocco,-2015,2016-2018
armoured vehicles,Morocco,2016,2017
armoured vehicles,Morocco,2016,2016
armoured vehicles,Niger,2019,2019
armoured vehicles,Nigeria,2014,2016
armoured vehicles,Nigeria,2014,2016
armoured vehicles,Pakistan,2010,2010
armoured vehicles,Pakistan,-2010,2011-2015
armoured vehicles,Pakistan,2013,2014-2015
armoured vehicles,Pakistan,2014,2015
armoured vehicles,Pakistan,-2014,2015
armoured vehicles,Pakistan,2016,2018-2019
armoured vehicles,Pakistan,2017,2017
armoured vehicles,Philippines,-2003,2006
armoured vehicles,Philippines,2012,2015
armoured vehicles,Philippines,2013,2013
armoured vehicles,Poland,2008,2008-2009
armoured vehicles,Poland,2010,2010
armoured vehicles,Poland,2014,2014-2015
armoured vehicles,Portugal,-1995,1996-2000
armoured vehicles,Romania,-2006,2006-2007
armoured vehicles,Romania,2010,2010
armoured vehicles,Romania,-2014,2014
armoured vehicles,Saudi Arabia,1997,2003-2006
armoured vehicles,Saudi Arabia,-2000,2001
armoured vehicles,Saudi Arabia,2008,2012-2014
armoured vehicles,Saudi Arabia,2009,2012-2017
armoured vehicles,Saudi Arabia,2013,2014-2016
armoured vehicles,Saudi Arabia,-2015,2016-2017
armoured vehicles,Saudi Arabia,2016,2018-2019
armoured vehicles,Saudi Arabia,-2016,2018-2019
armoured vehicles,Singapore,-2001,2001-2005
armoured vehicles,Singapore,2009,2009
armoured vehicles,Slovenia,-2000,2001
armoured vehicles,Slovenia,-2014,2014
armoured vehicles,South Korea,-2010,2011
armoured vehicles,Spain,2014,2016
armoured vehicles,Syria rebels,-2016,2017
armoured vehicles,Syria rebels,2017,2017
armoured vehicles,Taiwan,1996,1998-2002
armoured vehicles,Taiwan,2003,2005-2006
armoured vehicles,Taiwan,2018,2020
armoured vehicles,Thailand,-1997,1998-2000
armoured vehicles,Thailand,-1998,2000-2001
armoured vehicles,Thailand,2019,2019
armoured vehicles,Tunisia,-2003,2003
armoured vehicles,Tunisia,-2015,2015-2016
armoured vehicles,Tunisia,2018,2018
armoured vehicles,Turkey,-1998,2002-2004
armoured vehicles,UAE,2011,2011
armoured vehicles,UAE,-2012,2013
armoured vehicles,UAE,2014,2016-2018
armoured vehicles,UAE,2014,2016
armoured vehicles,UAE,2014,2017-2018
armoured vehicles,UAE,2014,2016-2019
armoured vehicles,Uganda,2013,2015
armoured vehicles,Uganda,2014,2015
armoured vehicles,Ukraine,2015,2015
armoured vehicles,United Kingdom,2001,2002-2003
armoured vehicles,United Kingdom,-2006,2007
armoured vehicles,United Kingdom,2008,2009
armoured vehicles,United Kingdom,2008,2008-2009
armoured vehicles,United Kingdom,-2009,2011
armoured vehicles,United Kingdom,2010,2010-2011
armoured vehicles,United Kingdom,2010,2010-2011
armoured vehicles,United Kingdom,2010,2010-2011
armoured vehicles,United Kingdom,-2010,2011
armoured vehicles,United Kingdom,2011,2011
armoured vehicles,Unknown recipient(s),2010,2010
armoured vehicles,Uzbekistan,2014,2015
armoured vehicles,Uzbekistan,2014,2015
armoured vehicles,Uzbekistan,2014,2015
armoured vehicles,Uzbekistan,2014,2015
armoured vehicles,Yemen,-2005,2006
armoured vehicles,Yemen,2007,2008
engines,Portugal,-2016,2017-2018
engines,Germany,-1997,2004-2005
engines,India,1983,1986-2011
engines,India,-2012,2013-2016
engines,Italy,1997,2001-2005
engines,Italy,-2000,2007-2019
engines,Italy,-2003,2011-2019
engines,Japan,-1970,1975-2005
engines,Japan,-1978,1982-2002
engines,Japan,1984,1987-2015
engines,Japan,-1988,1993-2011
engines,Japan,-1999,2002-2004
engines,Japan,2010,2015-2017
engines,Japan,-2013,2018-2019
engines,South Korea,1991,1998-2001
engines,South Korea,-2001,2005-2008
engines,South Korea,-2006,2008-2012
engines,South Korea,2013,2013-2016
engines,Spain,1994,1998-2000
engines,Spain,-1996,2002-2012
engines,Sweden,-1982,1993-2007
engines,Sweden,-1994,1996-2000
engines,Taiwan,1987,1989-2001
engines,Turkey,2008,2016-2019
engines,Turkey,2010,2014
engines,Turkey,2017,2018-2019
engines,Algeria,2012,2016
engines,Algeria,2012,2015-2016
engines,Argentina,1989,1995-2002
engines,Argentina,-2001,2004-2008
engines,Argentina,-2009,2012-2018
engines,Argentina,-2013,2018-2019
engines,Australia,-1989,1996-2006
engines,Australia,1998,2002-2005
engines,Australia,-1999,2005-2007
engines,Australia,-2004,2011-2012
engines,Australia,-2005,2006-2008
engines,Australia,2006,2007-2008
engines,Australia,2007,2008-2010
engines,Australia,-2007,2017-2018
engines,Australia,-2007,2017-2018
engines,Australia,2008,2010
engines,Australia,2008,2010-2011
engines,Australia,2008,2014-2015
engines,Australia,2011,2012
engines,Australia,2012,2015-2018
engines,Australia,2012,2012-2014
engines,Australia,2014,2016
engines,Austria,2016,2019
engines,Azerbaijan,2009,2009-2011
engines,Azerbaijan,2011,2012-2014
engines,Bangladesh,2011,2013
engines,Belgium,2006,2008-2015
engines,Botswana,2008,2009-2010
engines,Brazil,-1994,2008
engines,Brazil,1997,2002-2003
engines,Brazil,2006,2007-2008
engines,Brazil,2007,2009
engines,Brazil,2008,2013-2014
engines,Brazil,2008,2010-2014
engines,Brazil,-2010,2013-2015
engines,Brazil,2014,2019
engines,Brazil,-2014,2019
engines,Brazil,2015,2017-2019
engines,Brazil,-2017,2017
engines,Brunei,-2002,2003-2004
engines,Bulgaria,2006,2007-2011
engines,Cameroon,2012,2013
engines,Canada,1997,1998-2004
engines,Canada,2011,2013-2018
engines,Chad,2012,2014
engines,Chile,-1980,1981-2000
engines,Chile,2014,2016
engines,Colombia,-2002,2003
engines,Colombia,2009,2010
engines,Colombia,2012,2012-2013
engines,Congo,2010,2010
engines,Czechia,-1994,2000-2003
engines,Czechia,2004,2005
engines,Czechia,2009,2009-2013
engines,Czechia,2017,2019
engines,Denmark,2000,2001
engines,Denmark,2006,2007-2009
engines,Denmark,2013,2015-2016
engines,Ecuador,2003,2005
engines,Egypt,1999,2001-2005
engines,Egypt,2003,2004-2009
engines,Egypt,2004,2007-2010
engines,Egypt,2015,2015
engines,Equatorial Guinea,-2008,2009
engines,Equatorial Guinea,-2009,2012
engines,Equatorial Guinea,-2012,2014
engines,Finland,1992,1997-2000
engines,France,1996,1998-2000
engines,France,-1996,1998-2003
engines,France,-2000,2010
engines,France,2001,2002
engines,France,2002,2003
engines,France,-2005,2012-2019
engines,France,2009,2011-2013
engines,France,2010,2011-2013
engines,France,-2016,2017-2019
engines,Gabon,2010,2010
engines,Georgia,-2008,2008-2009
engines,Germany,2002,2003-2011
engines,Germany,-2007,2019
engines,Ghana,2006,2007
engines,Ghana,2011,2011-2012
engines,Ghana,-2011,2014
engines,Greece,1999,2004-2005
engines,Greece,2003,2004-2007
engines,Greece,2015,2018
engines,Greece,2016,2017
engines,Hungary,2001,2006-2007
engines,India,-1999,2010-2012
engines,India,2007,2016-2019
engines,India,2008,2017-2019
engines,India,-2015,2019
engines,India,-2016,2019
engines,Indonesia,-1990,1993-2019
engines,Indonesia,1996,2005-2007
engines,Indonesia,-2000,2002-2005
engines,Indonesia,-2002,2003
engines,Indonesia,-2006,2007-2008
engines,Indonesia,-2011,2014-2015
engines,Indonesia,2011,2013-2014
engines,Indonesia,-2012,2018
engines,Indonesia,2013,2014
engines,Indonesia,2016,2017
engines,Iraq,2004,2006
engines,Iraq,-2013,2016-2017
engines,Iraq,2013,2016
engines,Israel,-1975,1979-2003
engines,Israel,-1999,2000-2002
engines,Israel,-2000,2004-2005
engines,Israel,2010,2011-2012
engines,Israel,2012,2014-2016
engines,Israel,2015,2016-2017
engines,Israel,2017,2018-2019
engines,Italy,1999,2000-2002
engines,Italy,2002,2006-2008
engines,Italy,2009,2011-2019
engines,Jamaica,2013,2015-2016
engines,Japan,-1987,2000-2012
engines,Japan,-1996,2007-2017
engines,Japan,-2006,2016-2019
engines,Japan,-2012,2018
engines,Japan,2012,2014
engines,Japan,2014,2014
engines,Japan,-2015,2019
engines,Japan,-2017,2018
engines,Jordan,-2000,2004-2005
engines,Jordan,2003,2003
engines,Jordan,-2005,2005-2015
engines,Jordan,2014,2016-2018
engines,Kenya,2010,2011-2012
engines,Libya,-2012,2012
engines,Libya GNC,-2015,2016
engines,Libya GNC,-2019,2019
engines,Libya HoR,-2013,2014
engines,Libya HoR,-2018,2018
engines,Lithuania,2006,2006-2009
engines,Malaysia,1999,2003-2004
engines,Malaysia,2000,2002-2004
engines,Malaysia,2000,2006-2010
engines,Malaysia,2002,2005-2006
engines,Malaysia,2008,2010
engines,Malaysia,2015,2016-2017
engines,Mauritius,2014,2016
engines,Mexico,-1997,1998-2012
engines,Mexico,2001,2004
engines,Mexico,2008,2010
engines,Mexico,2008,2010
engines,Mexico,-2009,2011-2012
engines,Mexico,2011,2011-2012
engines,Mexico,-2013,2015
engines,Morocco,2008,2010-2011
engines,Morocco,2008,2014
engines,Namibia,2010,2012
engines,Nepal,2017,2019
engines,Netherlands,2005,2006-2007
engines,Netherlands,2006,2006
engines,Netherlands,-2007,2011-2013
engines,Netherlands,2007,2007-2008
engines,Netherlands,2008,2008
engines,Netherlands,2009,2009
engines,Netherlands,2009,2009
engines,Netherlands,2009,2009
engines,Netherlands,2015,2016-2017
engines,Netherlands,-2016,2017
engines,New Zealand,2001,2003-2004
engines,Nigeria,-2013,2014
engines,Nigeria,2016,2017
engines,Nigeria,2016,2017
engines,Norway,-1999,2010-2013
engines,Norway,-1999,2010-2013
engines,Norway,-2000,2006-2011
engines,Norway,-2007,2008-2009
engines,Norway,2018,2019
engines,Oman,2000,2001-2003
engines,Oman,2000,2001-2003
engines,Oman,2000,2004-2005
engines,Pakistan,-2000,2005-2006
engines,Pakistan,2002,2004
engines,Pakistan,2006,2007-2008
engines,Peru,-2013,2015-2017
engines,Peru,2014,2015-2016
engines,Philippines,-2002,2004
engines,Philippines,-2006,2007
engines,Philippines,2007,2009
engines,Philippines,-2014,2015-2017
engines,Philippines,-2014,2016
engines,Philippines,2016,2019
engines,Philippines,2016,2019
engines,Poland,-2001,2019
engines,Poland,2014,2017
engines,Portugal,2005,2007-2016
engines,Qatar,2016,2017-2019
engines,Qatar,2018,2019
engines,Romania,-1997,2005-2009
engines,Romania,2006,2008-2015
engines,Romania,-2006,2010-2015
engines,Romania,-2016,2018
engines,Saudi Arabia,-1990,1991-2004
engines,Saudi Arabia,2004,2005-2006
engines,Saudi Arabia,-2005,2007
engines,Saudi Arabia,2006,2006-2009
engines,Saudi Arabia,2006,2007
engines,Saudi Arabia,2007,2008-2009
engines,Saudi Arabia,2008,2008-2010
engines,Saudi Arabia,2008,2011-2012
engines,Saudi Arabia,2008,2009-2010
engines,Saudi Arabia,2009,2011-2015
engines,Saudi Arabia,2009,2014-2015
engines,Saudi Arabia,2010,2010-2013
engines,Saudi Arabia,2011,2013-2017
engines,Saudi Arabia,2011,2015
engines,Saudi Arabia,-2012,2017-2019
engines,Saudi Arabia,2014,2015-2017
engines,Senegal,-2013,2017
engines,Senegal,-2017,2018
engines,Seychelles,-2012,2013
engines,Seychelles,-2015,2018
engines,Singapore,-1995,1996-2000
engines,Singapore,-1995,1997-2004
engines,Singapore,-2000,2001-2013
engines,Singapore,2009,2010-2018
engines,Singapore,2010,2012-2014
engines,Slovakia,2014,2017-2018
engines,South Africa,1999,2008-2009
engines,South Africa,-1999,2006-2007
engines,South Africa,-2000,2010-2012
engines,South Africa,2003,2007
engines,South Korea,-1993,1998-2000
engines,South Korea,1997,2001-2002
engines,South Korea,-1999,2003-2005
engines,South Korea,-2002,2008-2012
engines,South Korea,-2003,2006-2008
engines,South Korea,-2005,2008-2018
engines,South Korea,-2009,2013-2016
engines,South Korea,-2012,2016
engines,South Korea,-2013,2014
engines,South Korea,2013,2016
engines,South Korea,2014,2018-2019
engines,South Korea,-2015,2017-2019
engines,South Korea,-2015,2017-2019
engines,South Sudan,2012,2012-2013
engines,Spain,1996,2002-2012
engines,Spain,1997,1999-2000
engines,Spain,2004,2010
engines,Spain,2006,2007-2009
engines,Suriname,2012,2012
engines,Sweden,-1995,2006-2008
engines,Sweden,2012,2013
engines,Sweden,-2013,2014-2015
engines,Switzerland,1995,1997-2002
engines,Switzerland,-2009,2010-2012
engines,Switzerland,-2009,2010-2012
engines,Switzerland,2009,2010-2017
engines,Taiwan,-2005,2014-2019
engines,Taiwan,2010,2013-2014
engines,Thailand,2001,2004
engines,Thailand,-2008,2010
engines,Thailand,2008,2011
engines,Thailand,2010,2013
engines,Thailand,2012,2012-2014
engines,Thailand,2013,2018
engines,Thailand,2015,2018
engines,Thailand,2017,2019
engines,Tunisia,2014,2014
engines,Tunisia,2016,2018
engines,Tunisia,-2016,2017
engines,Tunisia,-2016,2016
engines,Turkey,-1990,1991-2008
engines,Turkey,1990,1995-2000
engines,Turkey,1998,2013-2014
engines,Turkey,-2007,2011-2013
engines,Turkey,2008,2013-2019
engines,Turkey,2009,2010-2015
engines,Turkey,2013,2014-2015
engines,Turkey,2015,2018-2019
engines,Turkey,2016,2016
engines,UAE,1997,1999-2000
engines,UAE,2005,2006-2010
engines,UAE,2015,2016-2019
engines,UAE,2017,2018-2019
engines,United Kingdom,1997,1999-2012
engines,United Kingdom,-2006,2015-2016
engines,United Kingdom,2008,2010-2011
engines,United Kingdom,2008,2008
engines,United Kingdom,2009,2012-2016
engines,United Kingdom,2012,2012-2013
engines,United Nations**,2013,2014-2015
engines,Uzbekistan,2017,2018-2019
engines,Venezuela,1999,2001
engines,Yemen,2011,2013
engines,Zambia,2015,2019
sensors,Australia,1998,2004-2005
sensors,Finland,2010,2018
sensors,Germany,2003,2019
sensors,Japan,1992,1995-2010
sensors,Japan,-2004,2007-2015
sensors,South Korea,2000,2002
sensors,South Korea,2002,2004
sensors,Taiwan,-1982,1989-2000
sensors,United Kingdom,1999,2007
sensors,Algeria,-1998,2000-2001
sensors,Argentina,2003,2004
sensors,Argentina,2004,2004
sensors,Australia,1993,1996-2006
sensors,Australia,2000,2002-2003
sensors,Australia,2003,2004-2006
sensors,Australia,-2007,2010-2011
sensors,Australia,-2007,2017-2018
sensors,Australia,2008,2017-2018
sensors,Australia,2009,2017-2018
sensors,Bahrain,2004,2007
sensors,Belgium,1993,1996-2004
sensors,Belgium,-2000,2002
sensors,Belgium,-2000,2002
sensors,Belgium,2006,2007-2008
sensors,Belgium,2013,2015
sensors,Brazil,-1995,2002-2004
sensors,Brazil,-1995,2001-2008
sensors,Brazil,1997,1999-2001
sensors,Canada,2001,2003-2006
sensors,Canada,2001,2002-2003
sensors,Canada,-2002,2011-2015
sensors,Canada,2007,2007-2008
sensors,Chile,-2000,2003
sensors,Chile,2007,2010-2011
sensors,Chile,2011,2013-2015
sensors,Chile,-2012,2013-2014
sensors,Colombia,-1998,2001-2007
sensors,Colombia,-2000,2001
sensors,Colombia,-2000,2000-2001
sensors,Colombia,-2003,2003
sensors,Colombia,-2006,2008-2009
sensors,Colombia,2012,2014-2015
sensors,Colombia,2013,2015
sensors,Croatia,1999,2001
sensors,Denmark,1993,1995-2001
sensors,Denmark,1999,2001-2002
sensors,Denmark,2002,2003-2004
sensors,Denmark,2005,2007
sensors,Denmark,2006,2008
sensors,Egypt,1999,2005-2008
sensors,Egypt,1999,2002-2003
sensors,Egypt,2000,2001
sensors,Egypt,2000,2001
sensors,Egypt,2000,2002-2003
sensors,Egypt,2001,2005-2006
sensors,Egypt,2010,2013
sensors,Egypt,2010,2013
sensors,Egypt,2011,2013-2015
sensors,Egypt,2016,2018-2019
sensors,Egypt,2017,2019
sensors,Estonia,2001,2003
sensors,Finland,2009,2013-2015
sensors,Germany,1996,1999-2000
sensors,Greece,1997,2003-2005
sensors,Greece,-1998,2009-2012
sensors,Greece,-2000,2003-2004
sensors,Greece,2003,2007
sensors,Greece,2007,2009
sensors,India,2002,2006
sensors,India,2003,2006-2007
sensors,India,2016,2019
sensors,Indonesia,1996,1999-2007
sensors,Indonesia,-2012,2017-2018
sensors,Indonesia,-2013,2014
sensors,Iraq,-2006,2009
sensors,Iraq,2011,2013
sensors,Iraq,2012,2015
sensors,Iraq,2012,2015
sensors,Iraq,2012,2015-2016
sensors,Iraq,-2013,2013-2014
sensors,Ireland,2006,2007-2008
sensors,Israel,-1998,2000-2001
sensors,Israel,-1998,2000-2001
sensors,Israel,2004,2006
sensors,Israel,2014,2015
sensors,Italy,1999,2002-2004
sensors,Italy,2002,2005-2006
sensors,Italy,2003,2011-2019
sensors,Italy,2011,2012
sensors,Japan,2000,2004-2008
sensors,Japan,-2000,2002-2003
sensors,Japan,2001,2006-2016
sensors,Japan,-2002,2007-2008
sensors,Japan,2002,2007-2008
sensors,Japan,2011,2014-2019
sensors,Japan,2014,2016
sensors,Jordan,-2000,2002
sensors,Jordan,-2002,2004
sensors,Jordan,2004,2007-2009
sensors,Jordan,2013,2014
sensors,Jordan,2015,2015-2016
sensors,Jordan,2016,2019
sensors,Jordan,2016,2017-2018
sensors,Kuwait,2003,2007
sensors,Kuwait,2003,2005
sensors,Kuwait,-2005,2006
sensors,Kuwait,-2016,2018-2019
sensors,Latvia,2001,2003
sensors,Latvia,2007,2009-2010
sensors,Latvia,2015,2016
sensors,Latvia,2015,2018-2019
sensors,Lithuania,2002,2006
sensors,Malaysia,-2001,2003-2004
sensors,Malaysia,2012,2016-2017
sensors,Malaysia,-2012,2014
sensors,Mexico,2001,2004
sensors,Mexico,2002,2004-2006
sensors,Mexico,-2002,2004
sensors,Mexico,2003,2006
sensors,Mexico,2008,2010
sensors,Mexico,2010,2011-2015
sensors,Mexico,2011,2012-2013
sensors,Morocco,2008,2011
sensors,Morocco,2008,2010
sensors,Morocco,2009,2011
sensors,Morocco,2011,2012-2013
sensors,Netherlands,1993,1996-2003
sensors,Netherlands,1997,2001
sensors,Netherlands,1999,2001
sensors,Netherlands,2003,2010-2016
sensors,Netherlands,2004,2005
sensors,Netherlands,2015,2016-2017
sensors,Norway,1993,1996-2002
sensors,Norway,2000,2006-2011
sensors,Norway,-2000,2001-2002
sensors,Norway,2000,2006-2011
sensors,Norway,-2002,2003-2004
sensors,Norway,-2003,2003
sensors,Norway,2004,2005-2006
sensors,Oman,2002,2005-2008
sensors,Oman,2002,2005-2008
sensors,Oman,2003,2006
sensors,Oman,2012,2014
sensors,Oman,2012,2014
sensors,Oman,2012,2014
sensors,Oman,-2013,2016
sensors,Pakistan,2005,2008-2009
sensors,Pakistan,2007,2010
sensors,Pakistan,2007,2012-2014
sensors,Pakistan,-2008,2011
sensors,Pakistan,-2009,2009
sensors,Pakistan,-2011,2014
sensors,Pakistan,2011,2013
sensors,Pakistan,2015,2015-2016
sensors,Philippines,-2011,2012
sensors,Poland,2000,2001
sensors,Poland,2002,2002
sensors,Poland,2003,2007-2008
sensors,Poland,2003,2003-2004
sensors,Poland,2004,2006-2007
sensors,Poland,2004,2005
sensors,Qatar,2018,2019
sensors,Romania,2002,2005
sensors,Romania,2008,2009-2011
sensors,Romania,-2014,2016
sensors,Romania,2016,2017-2018
sensors,Saudi Arabia,2009,2010
sensors,Saudi Arabia,2010,2011-2012
sensors,Saudi Arabia,-2010,2014-2016
sensors,Saudi Arabia,-2011,2016-2019
sensors,Saudi Arabia,2012,2016-2019
sensors,Saudi Arabia,2012,2014-2016
sensors,Singapore,2000,2002
sensors,Singapore,-2000,2007-2009
sensors,Singapore,2001,2004-2005
sensors,Singapore,2001,2005
sensors,Singapore,-2006,2009-2012
sensors,Singapore,2006,2009-2012
sensors,Singapore,2008,2010-2011
sensors,Singapore,2015,2017-2019
sensors,Singapore,2017,2018-2019
sensors,South Africa,2003,2007
sensors,South Korea,1994,1998-2000
sensors,South Korea,1997,1999-2001
sensors,South Korea,-1999,2003-2005
sensors,South Korea,-2002,2008-2012
sensors,South Korea,-2002,2008-2012
sensors,South Korea,-2002,2008-2012
sensors,South Korea,-2002,2008-2012
sensors,South Korea,2002,2005-2008
sensors,South Korea,-2006,2011-2012
sensors,South Korea,-2009,2010-2013
sensors,South Korea,2013,2015-2017
sensors,South Korea,2013,2017
sensors,Spain,1993,1999-2000
sensors,Spain,1996,2002-2012
sensors,Spain,-1996,2001-2002
sensors,Spain,-1996,2002-2012
sensors,Spain,1996,2002-2006
sensors,Spain,-2000,2002-2003
