category,recipient,year ordered,year delivered
aircraft,Colombia,2002,2002
aircraft,Colombia,2002,2002
aircraft,Colombia,-2002,2002
aircraft,Colombia,2004,2005-2007
aircraft,Colombia,-2005,2007
aircraft,Colombia,-2006,2007
aircraft,Colombia,-2006,2007
aircraft,Colombia,-2006,2007
aircraft,Colombia,-2006,2006-2007
aircraft,Colombia,2007,2010
aircraft,Colombia,2007,2009
aircraft,Colombia,2008,2011
aircraft,Colombia,2008,2009
aircraft,Colombia,2008,2008
aircraft,Colombia,2008,2009-2010
aircraft,Colombia,-2008,2009-2010
aircraft,Colombia,2008,2009
aircraft,Colombia,2008,2011-2012
aircraft,Colombia,-2008,2008-2010
aircraft,Colombia,-2009,2010-2013
aircraft,Colombia,2009,2010-2014
aircraft,Colombia,-2010,2011
aircraft,Colombia,2010,2010
aircraft,Colombia,-2010,2011
aircraft,Colombia,-2010,2011
aircraft,Colombia,2011,2013-2019
aircraft,Colombia,-2011,2012
aircraft,Colombia,2011,2012
aircraft,Colombia,-2012,2013
aircraft,Colombia,2012,2013-2014
aircraft,Colombia,2012,2013
aircraft,Colombia,-2012,2013
aircraft,Colombia,-2012,2013
aircraft,Colombia,2012,2013
aircraft,Colombia,2013,2013
aircraft,Colombia,-2013,2013
aircraft,Colombia,2015,2016-2017
aircraft,Colombia,-2016,2017
aircraft,Colombia,-2016,2017
aircraft,Colombia,2018,2019
aircraft,Costa Rica,4-Jul,2012-2014
aircraft,Croatia,2016,2016
aircraft,Croatia,-2018,2020
aircraft,Czechia,2014,2015
aircraft,Czechia,2017,2018
aircraft,Denmark,2000,2004
aircraft,Denmark,2004,2007
aircraft,Denmark,2012,2016-2018
aircraft,Dominican Republic,-2000,2001-2002
aircraft,Dominican Republic,-2000,2001-2002
aircraft,Dominican Republic,-2002,2004
aircraft,Dominican Republic,2002,2003-2004
aircraft,Dominican Republic,-2003,2003-2004
aircraft,Dominican Republic,-2014,2015
aircraft,Dominican Republic,2015,2016
aircraft,DR Congo,1-Jul,2009
aircraft,Ecuador,-2001,2002
aircraft,Ecuador,2008,2009-2010
aircraft,Ecuador,2009,2010
aircraft,Egypt,1996,1999-2000
aircraft,Egypt,1999,2001-2002
aircraft,Egypt,-2000,2003-2006
aircraft,Egypt,2001,2003
aircraft,Egypt,2004,2004
aircraft,Egypt,2008,2010
aircraft,Egypt,-2010,2014
aircraft,Egypt,2010,2013-2015
aircraft,Egypt,2011,2012
aircraft,El Salvador,-2001,2002-2003
aircraft,El Salvador,2011,2012
aircraft,Equatorial Guinea,-2007,2007
aircraft,Estonia,23-Jun,2002
aircraft,Estonia,2017,2019
aircraft,Ethiopia,-2013,2014
aircraft,Ethiopia,2017,2018
aircraft,France,25-Jun,2003-2004
aircraft,France,2012,2012
aircraft,France,2012,2012
aircraft,France,2013,2013-2017
aircraft,France,2016,2017-2018
aircraft,France,2016,2019
aircraft,France,2016,2018-2019
aircraft,France,2018,2020
aircraft,Georgia,1999,2001
aircraft,Greece,1998,2000-2001
aircraft,Greece,1998,2001-2002
aircraft,Greece,1999,2001
aircraft,Greece,1999,2000-2003
aircraft,Greece,2000,2003-2004
aircraft,Greece,2000,2002
aircraft,Greece,2000,2003-2004
aircraft,Greece,2001,2004
aircraft,Greece,2002,2003
aircraft,Greece,2003,2007
aircraft,Greece,2005,2009-2010
aircraft,Greece,2015,2016-2019
aircraft,Greece,2017,2019
aircraft,Guatemala,-2017,2018
aircraft,Guatemala,2018,2018
aircraft,Guatemala,2018,2018
aircraft,Honduras,29-Jun,2008
aircraft,Honduras,2011,2011-2012
aircraft,Honduras,-2015,2015-2018
aircraft,India,28-Jun,2007
aircraft,India,2008,2010-2011
aircraft,India,2011,2013-2014
aircraft,India,2015,2019
aircraft,India,2017,2019
aircraft,India,-2018,2019
aircraft,Indonesia,-1996,2006
aircraft,Indonesia,2010,2012-2014
aircraft,Indonesia,-2010,2011
aircraft,Indonesia,2012,2014-2017
aircraft,Indonesia,2012,2012
aircraft,Indonesia,2013,2013
aircraft,Indonesia,-2014,2017-2018
aircraft,Indonesia,-2014,2015
aircraft,Indonesia,2014,2015
aircraft,Indonesia,-2016,2017
aircraft,Iraq,-2004,2005
aircraft,Iraq,2004,2004
aircraft,Iraq,2005,2007
aircraft,Iraq,-2005,2007-2009
aircraft,Iraq,2007,2008-2009
aircraft,Iraq,2007,2007-2009
aircraft,Iraq,2007,2007
aircraft,Iraq,2007,2008
aircraft,Iraq,2009,2012-2013
aircraft,Iraq,2009,2010
aircraft,Iraq,2009,2012-2013
aircraft,Iraq,2009,2009-2010
aircraft,Iraq,-2010,2011
aircraft,Iraq,2011,2014-2015
aircraft,Iraq,2013,2016-2017
aircraft,Iraq,2013,2014
aircraft,Iraq,-2014,2015
aircraft,Iraq,2014,2016
aircraft,Israel,-1998,2000
aircraft,Israel,2000,2001
aircraft,Israel,-2001,2002-2005
aircraft,Israel,2001,2005-2006
aircraft,Israel,2001,2005-2007
aircraft,Israel,2001,2002-2003
aircraft,Israel,2001,2002
aircraft,Israel,2002,2003
aircraft,Israel,2003,2007
aircraft,Israel,2004,2006
aircraft,Israel,2004,2004-2005
aircraft,Israel,-2005,2006
aircraft,Israel,2008,2009-2010
aircraft,Israel,2010,2011
aircraft,Israel,2010,2013-2015
aircraft,Israel,2011,2012
aircraft,Israel,-2011,2012
aircraft,Israel,2013,2016-2018
aircraft,Israel,2016,2016
aircraft,Israel,-2017,2019
aircraft,Italy,1997,2002-2003
aircraft,Italy,1997,2000-2001
aircraft,Italy,2000,2004-2005
aircraft,Italy,2001,2003-2004
aircraft,Italy,2001,2004
aircraft,Italy,-2004,2005
aircraft,Italy,-2008,2010
aircraft,Italy,2009,2010
aircraft,Italy,2010,2015
aircraft,Italy,2011,2012
aircraft,Italy,-2011,2013
aircraft,Italy,2012,2012
aircraft,Italy,-2014,2015
aircraft,Jamaica,-2006,2007-2008
aircraft,Jamaica,-2008,2008
aircraft,Jamaica,-2010,2010
aircraft,Jamaica,2017,2018
aircraft,Jamaica,-2018,2018-2019
aircraft,Japan,1994,1996-2000
aircraft,Japan,1997,1999-2004
aircraft,Japan,2003,2008-2010
aircraft,Japan,-2007,2008-2009
aircraft,Japan,2010,2011-2015
aircraft,Japan,-2012,2016-2019
aircraft,Japan,-2012,2014-2016
aircraft,Japan,2012,2013
aircraft,Japan,2015,2019
aircraft,Japan,2015,2018-2019
aircraft,Jordan,1998,2000-2001
aircraft,Jordan,-2000,2001
aircraft,Jordan,2003,2003-2007
aircraft,Jordan,2004,2007
aircraft,Jordan,-2007,2008
aircraft,Jordan,2009,2009-2011
aircraft,Jordan,-2010,2011-2012
aircraft,Jordan,2014,2016
aircraft,Jordan,-2014,2015
aircraft,Jordan,2014,2014-2015
aircraft,Jordan,2015,2016
aircraft,Jordan,-2015,2015-2016
aircraft,Jordan,-2016,2017
aircraft,Kazakhstan,-2003,2004
aircraft,Kazakhstan,2007,2007
aircraft,Kazakhstan,2011,2012-2017
aircraft,Kenya,2014,2015
aircraft,Kenya,2015,2016
aircraft,Kenya,2016,2016-2017
aircraft,Kenya,2016,2020
aircraft,Kenya,2018,2019
aircraft,Kuwait,25-Jun,2007
aircraft,Kuwait,2009,2014
aircraft,Kuwait,-2011,2014
aircraft,Kuwait,2013,2014
aircraft,Lebanon,1998,1999-2000
aircraft,Lebanon,-2003,2005
aircraft,Lebanon,-2008,2009
aircraft,Lebanon,-2011,2013
aircraft,Lebanon,2012,2012
