category,recipient,ordered,designation,description,year ordered, year delivered,delivered,comments
aircraft,Qatar,36,F-15 Advanced Eagle,FGA aircraft,2017,,,$12 b deal; F-15QA version; option of 36 more; delivery planned 2020-2022/2023
aircraft,Romania,-60,Shadow-600,UAV,-1997,1999-2000,-60,$23 m deal
aircraft,Romania,5,Shadow-600,UAV,2000,2001,-5,$7.5 m deal
aircraft,Romania,1,C-130H Hercules,Transport aircraft,2004,2007,1,Second-hand aircraft sold back to US producer; $7.8 m deal (part of $55 m deal incl modernization of 4 Romanian C-130B and $16 m' FMF' aid); modernized before delivery
aircraft,Saudi Arabia,-2,RE-3,SIGINT aircraft,-1998,2004,-2,Saudi KE-3A tanker aircraft rebuilt to RE-3 ELINT/SIGINT aircraft
aircraft,Saudi Arabia,-16,Bell-412,Helicopter,2001,2002-2003,-16,Bell-412SA or Bell-412RSAF version; from Canadian production line
aircraft,Saudi Arabia,1,RE-3,SIGINT aircraft,-2004,2007,1,Second-hand E-8B AGS aircraft rebuilt to RE-3
aircraft,Saudi Arabia,4,Citation-2,Light transport ac,-2005,2005-2006,4,
aircraft,Saudi Arabia,16,S-92/H-92 Superhawk,Transport helicopter,2007,2008-2010,-16,For police; incl for civilian police use
aircraft,Saudi Arabia,12,AH-64D Apache,Combat helicopter,2008,2011,-12,Incl 11 Saudi AH-64A rebuilt to AH-64D version
aircraft,Saudi Arabia,22,S-70/UH-60L,Helicopter,2008,2010-2011,-22,$286 m deal
aircraft,Saudi Arabia,12,AH-64E Apache Guardian,Combat helicopter,-2009,2014-2015,-12,
aircraft,Saudi Arabia,2,King Air-350 ISR,AGS aircraft,-2009,2011,2,
aircraft,Saudi Arabia,9,Schweizer-330,Light helicopter,2009,2009,-9,S-434 version
aircraft,Saudi Arabia,13,S-70/UH-60L,Helicopter,2010,2012-2013,-13,Saudi UH-60A rebuilt to UH-60L
aircraft,Saudi Arabia,3,S-70/UH-60L,Helicopter,2010,2011,3,S-70i version; from Polish production line; for police
aircraft,Saudi Arabia,-24,AH-64E Apache Guardian,Combat helicopter,-2011,2015-2016,-24,
aircraft,Saudi Arabia,84,F-15 Advanced Eagle,FGA aircraft,2011,2016-2019,-84,Part of $29 b deal; F-15SA version
aircraft,Saudi Arabia,70,F-15 Advanced Eagle,FGA aircraft,2011,2016,2,Part of $29 b deal; Saudi F-15S rebuilt to F-15SA; delivery planned 2016-2026
aircraft,Saudi Arabia,2,S-70/UH-60L,Helicopter,2011,2012,2,$27 m deal
aircraft,Saudi Arabia,12,S-70/UH-60L,Helicopter,2011,2013-2014,-12,Saudi UH-60A rebuilt to UH-60L version
aircraft,Saudi Arabia,12,AH-64E Apache Guardian,Combat helicopter,-2012,2015,-12,For National Guard
aircraft,Saudi Arabia,-9,King Air,Light transport ac,2012,2013-2014,-9,King Air-350 version
aircraft,Saudi Arabia,1,King Air,Light transport ac,2012,2013,1,Second-hand but probably modernized before delivery; King Air-350 version
aircraft,Saudi Arabia,4,King Air-350 ISR,AGS aircraft,-2012,2015-2016,-4,
aircraft,Saudi Arabia,-12,MD-500E,Light helicopter,2012,2013,12,$41 m deal; MD-530F version; for National Guard; for training
aircraft,Saudi Arabia,24,S-70/UH-60L,Helicopter,2012,2014-2015,-24,For National Guard; UH-60M version
aircraft,Saudi Arabia,2,KC-130J Hercules,Tanker/transport ac,2013,2016,2,$181 m deal
aircraft,Saudi Arabia,25,SR-22,Light aircraft,2013,2013,25,Ordered via UK company (as part of GBP1.6 b deal); for training
aircraft,Saudi Arabia,24,AH-6S,Combat helicopter,2014,2016-2018,-24,$235 m deal; AH-6i version; for National Guard
aircraft,Saudi Arabia,10,MH-60R Seahawk,ASW helicopter,2015,2018-2019,-10,
aircraft,Saudi Arabia,-2,King Air-350 ISR,AGS aircraft,2016,2019,-1,$71 m deal: delivery by 2020
aircraft,Saudi Arabia,8,S-70/UH-60L,Helicopter,2016,2017,-8,
aircraft,Saudi Arabia,24,AH-64E Apache Guardian,Combat helicopter,2017,,,Delivery planned by 2022
aircraft,Saudi Arabia,8,CH-47F Chinook,Transport helicopter,2017,,,Delivery planned by 2021
aircraft,Saudi Arabia,40,S-70/UH-60L,Helicopter,2017,2018-2019,-20,UH-60M version; including 8 for National Guard
aircraft,Saudi Arabia,-30,S-70/UH-60L,Helicopter,-2017,,,
aircraft,Senegal,2,King Air,Light transport ac,-2011,2011,2,Second-hand; King Air B-200 version; incl for civilian use
aircraft,Serbia,1,PA-34 Seneca,Light transport ac,1-Jul,2012,1,$3.5 m deal; PA-34-220T Seneca-5 version; incl for training and aerial survey
aircraft,Singapore,12,F-16C Block-50/52,FGA aircraft,1997,1999-2000,-12,$350 m 'Peace Carvin-3' deal; F-16CJ Block-52 version; incl 2 F-16DJ
aircraft,Singapore,4,KC-135 Stratotanker,Tanker/transport ac,1997,1999-2000,-4,Second-hand; $280-500 m 'Peace Guardian' deal; modernized to KC-135R before delivery
aircraft,Singapore,6,CH-47D Chinook,Transport helicopter,1998,2000,6,CH-47SD version
aircraft,Singapore,8,AH-64D Apache,Combat helicopter,1999,2002,-8,Part of $629 m 'Peace Vanguard' deal (incl $26 m for Longbow radars); stationed in USA until 2006
aircraft,Singapore,2,CH-47D Chinook,Transport helicopter,1999,2001,-2,CH-47SD version
aircraft,Singapore,2,CH-47D Chinook,Transport helicopter,1999,2000,2,CH-47SD version
aircraft,Singapore,20,F-16C Block-50/52,FGA aircraft,-2000,2004-2005,-20,'Peace Carvin-4' deal; F-16D Block-52+ version
aircraft,Singapore,2,S-70/UH-60L,Helicopter,2000,2002,-2,
aircraft,Singapore,12,AH-64D Apache,Combat helicopter,2001,2005,-12,$617 m 'Peace Vanguard' deal; stationed in USA until 2006
aircraft,Singapore,12,F-15E Strike Eagle,FGA aircraft,2005,2009-2010,-12,$1 b 'NFRP' or 'Peace Carvin 5' programme; F-15SG version
aircraft,Singapore,6,S-70B/SH-60B Seahawk,ASW helicopter,2005,2009-2010,-6,SH-70(N) version
aircraft,Singapore,12,F-15E Strike Eagle,FGA aircraft,2007,2010-2012,-12,$1 b deal; F-15SG version
aircraft,Singapore,4,G-550 AEW,AEW&C aircraft,2007,2009-2011,4,Ordered and delivered via Israel; AEW systems fitted in Israel
aircraft,Singapore,1,Gulfstream-5,Light transport ac,2008,2012,1,G-550 version; for civilian company for 20 year training of Singaporean air force pilots
aircraft,Singapore,8,F-15E Strike Eagle,FGA aircraft,-2010,2013,-8,F-15SG version
aircraft,Singapore,-12,ScanEagle,UAV,-2011,2012-2013,-12,For modernized Victory corvettes
aircraft,Singapore,2,S-70B/SH-60B Seahawk,ASW helicopter,2013,2018,2,
aircraft,Singapore,8,F-15E Strike Eagle,FGA aircraft,-2014,2016-2017,-8,F-15SG version
aircraft,Singapore,-10,CH-47F Chinook,Transport helicopter,-2016,,,Delivery planned from 2020
aircraft,Singapore,4,F-35B Lightning-2,FGA aircraft,-2019,,,Selected but contract not yet signed by end-2019
aircraft,Slovakia,9,S-70/UH-60L,Helicopter,2015,2017-2019,-9,$261 m deal; UH-60M version
aircraft,Slovakia,14,F-16V,FGA aircraft,2018,,,EUR1.6 b ($1.8 b) deal; delivery planned 2022-2024
aircraft,Somalia,3,S-2RT,Light aircraft,-2013,2013,-3,Second-hand; for Puntland maritime police
aircraft,South Korea,8,RH-800RA/SIG,Reconnaissance ac,1996,2000-2001,-8,$461 m 'Paekdu/Peace Pioneer' and 'Peace Krypton' deals; incl 4 RH-800RA ground surveillance and RH-800SIG SIGINT version; deal temporarily suspended in 1998 after corruption charges
aircraft,South Korea,-4,Shadow-400,UAV,2000,2001-2002,-4,
aircraft,South Korea,8,P-3CUP Orion,ASW aircraft,2005,2010,8,$493-550 m deal; second-hand P-3B rebuilt to P-3CK (P-3CUP); 1 more for spares only
aircraft,South Korea,4,C-130J-30 Hercules,Transport aircraft,2010,2014,4,
aircraft,South Korea,36,AH-64E Apache Guardian,Combat helicopter,2013,2016-2017,-36,$1.6 b 'AH-X' programme
aircraft,South Korea,14,CH-47D Chinook,Transport helicopter,-2013,2014,14,Second-hand; KRW150 b ($130-151 m) deal
aircraft,South Korea,40,F-35A Lightning-2,FGA aircraft,2014,2018-2019,-16,KRW7.3 tr ($7 b) 'FX-3' programme (offsets incl technology transfer); delivery planned 2018-2021
aircraft,South Korea,6,P-8A Poseidon,ASW aircraft,2019,,,
aircraft,Spain,24,F/A-18A Hornet,FGA aircraft,1995,1995-2000,-24,Second-hand; $288 m deal; modernized to F/A-18A+ (EF-18A+) before delivery; option on 6 more not used; Spanish designation C-15
aircraft,Spain,1,AV-8B Harrier-2,FGA aircraft,-1999,2000,1,Second-hand AV-8B rebuilt to TAV-8B before delivery
aircraft,Spain,-5,AV-8B Harrier-2 Plus,FGA aircraft,2000,2002-2004,-5,Spanish AV-8B rebuilt to AV8B Plus
aircraft,Spain,6,S-70B/SH-60B Seahawk,ASW helicopter,2000,2002-2003,6,Part of $77 m deal; SH-60B Block-1 version; Spanish designation HS-23
aircraft,Spain,2,S-70/UH-60L,Helicopter,-2015,2017,-2,Second-hand SH-60F ASW version modified to transport version before delivery; EUR40 m deal; Spanish designation HT-23
aircraft,Spain,4,MQ-9 Reaper,UAV,2016,2019,-4,EUR158-161 m ($177 m) deal
aircraft,Spain,2,S-70/UH-60L,Helicopter,2017,,,Second-hand SH-60F ASW version modified to transport version before delivery; delivery planned 2021
aircraft,Spain,17,CH-47F Chinook,Transport helicopter,2018,,,EUR1.1 b deal; Spanish CH-47D rebuilt to CH-47F version
aircraft,Spain,2,S-70/UH-60L,Helicopter,-2019,,,Second-hand SH-60F ASW version modified to transport version before delivery; EUR36 m deal; delivery planned 2022-2023
aircraft,Sri Lanka,2,Bell-412,Helicopter,2000,2000,2,$9 m deal; incl for VIP transport; Bell-412EP version; from Canadian production line
aircraft,Sri Lanka,1,King Air HISAR,AGS aircraft,2000,2002,1,For use against LTTE rebels
aircraft,Sri Lanka,-2,Bell-412,Helicopter,-2010,2011,2,
aircraft,Sweden,1,Gulfstream-4,Light transport ac,2000,2000,1,Second-hand
aircraft,Sweden,8,RQ-7 Shadow-200,UAV,2010,2011,8,$31 m deal (part of $77 m deal incl 3-year training and support by Swedish company); Swedish designation AUV-3
aircraft,Sweden,15,S-70/UH-60L,Helicopter,2011,2011-2013,-15,$207 m deal; UH-60M version; Swedish designation Hkp-16A
aircraft,Switzerland,1,Centaur,Light aircraft/UAV,4-Jul,2012,1,For testing of sensors and UAV technologies
aircraft,Taiwan,-21,AH-1W SuperCobra,Combat helicopter,1997,2000-2002,-21,$479 m deal
aircraft,Taiwan,11,S-70B/SH-60B Seahawk,ASW helicopter,1997,2000-2001,-11,S-70C(M)-2 Thunderhawk version
aircraft,Taiwan,13,Bell-206/OH-58D(I),Combat helicopter,1999,1999-2001,-13,Assembled from kits in Taiwan
aircraft,Taiwan,9,CH-47D Chinook,Transport helicopter,1999,2002-2003,-9,$300-486 m deal; CH-47SD version
aircraft,Taiwan,2,E-2C Hawkeye-2000,AEW&C aircraft,1999,2005,2,$400 m deal; E-2T/Hawkeye-2000 version
aircraft,Taiwan,12,P-3CUP Orion,ASW aircraft,-2008,2012-2015,-12,$664 m deal (offsets 70%); second-hand P-3C rebuilt to P-3CUP
aircraft,Taiwan,30,AH-64E Apache Guardian,Combat helicopter,-2010,2012-2014,-30,$2 b deal
aircraft,Taiwan,4,S-70/UH-60L,Helicopter,2011,2014,-4,UH-60M version; $49 m deal
aircraft,Taiwan,-45,S-70/UH-60L,Helicopter,-2012,2014-2019,-45,UH-60M version
aircraft,Taiwan,66,F-16V,FGA aircraft,2019,,,NTD247 b deal; delivery planned by 2026
aircraft,Thailand,20,Bell-212/UH-1N,Helicopter,1993,1997-2000,-20,$130 m deal; from Canadian production line
aircraft,Thailand,16,F-16A,FGA aircraft,2000,2002-2003,-16,Second-hand but modernized before delivery; $130-157 m 'Peace Naresuan-4' deal (incl 2 more for spare parts only); F-16 Block-15 version; incl 1 F-16B version
aircraft,Thailand,30,Bell-205/UH-1H,Helicopter,2001,2002-2004,-30,Second-hand but modernized before delivery; $30 m aid
aircraft,Thailand,3,S-70/UH-60L,Helicopter,2001,2001-2002,-3,$30-36 m deal; for patrol and anti-narcotics operations along border with Myanmar
aircraft,Thailand,-4,S-70/UH-60L,Helicopter,2003,2004-2005,4,THB3 b deal
aircraft,Thailand,-4,AH-1F Cobra,Combat helicopter,-2005,2011-2012,-4,Second-hand but modernized before delivery; aid
aircraft,Thailand,2,S-70/UH-60L,Helicopter,2007,2011,2,$58 m deal; MH-60S version; bought after 2004 natural disaster as reaction to lack of helicopters for SAR
aircraft,Thailand,1,Aeros-40 Sky Dragon,Airship,2009,2009,1,Part of $9.7 m deal; Aeros-40D version; for reconnaissance/ground surveillance role
aircraft,Thailand,2,Bell-214,Helicopter,-2010,2011,2,Second-hand; Bell-214EP version
aircraft,Thailand,16,Enstrom-480,Light helicopter,2010,2011-2012,16,THB1.2 b ($40 m) deal; for training
aircraft,Thailand,3,S-70/UH-60L,Helicopter,2012,2013,3,Possibly THB2.8 b ($90 m) deal; UH-60M version
aircraft,Thailand,-3,S-70/UH-60L,Helicopter,2012,2014,3,UH-60M version
aircraft,Thailand,1,Saab-340,Transport aircraft,2012,2012,1,Second-hand
aircraft,Thailand,-1,S-70/UH-60L,Helicopter,2013,2016,1,$11.4 m deal; UH-60M version
aircraft,Thailand,2,Saab-340,Transport aircraft,2016,2017,2,Second-hand; probably for modification to SIGINT aircraft
aircraft,Thailand,8,AH-6S,Combat helicopter,-2019,,,AH-6i version; selected 2019 but not yet ordered by end-2019
aircraft,Trinidad and Tobago,2,Metro-3/C-26,Transport aircraft,1998,2000,2,Second-hand; aid; C-26B version
aircraft,Trinidad and Tobago,2,PA-31 Navajo,Light transport ac,2000,2000-2001,-2,Second-hand but modernized before delivery; aid
aircraft,Trinidad and Tobago,4,AW139,Helicopter,2009,2011-2012,4,$348 m deal (incl training and 5 year support)
aircraft,Tunisia,1,C-130B Hercules,Transport aircraft,-2001,2002,1,Second-hand
aircraft,Tunisia,-10,Bell-205/UH-1H,Helicopter,2006,2008-2011,-10,Second-hand; aid; modernized before delivery
aircraft,Tunisia,2,C-130J-30 Hercules,Transport aircraft,2010,2013-2014,2,
aircraft,Tunisia,8,S-70/UH-60L,Helicopter,2015,2017-2018,8,UH-60M version
aircraft,Tunisia,24,Bell-206/OH-58D(I),Combat helicopter,2016,2016-2017,-24,Second-hand; aid; OH-58D version
aircraft,Tunisia,3,Bell-429 GlobalRanger,Light helicopter,-2016,2017,3,For National Guard
aircraft,Tunisia,12,MX-7,Light aircraft,2016,2016,12,Aid (for protection of border with Libya)
aircraft,Tunisia,4,S-70/UH-60L,Helicopter,2016,2019,-2,$38 m deal; delivery 2019/2020
aircraft,Turkey,8,S-70B/SH-60B Seahawk,ASW helicopter,1998,2002,-8,S-70B-28 version
aircraft,Turkey,50,S-70/UH-60L,Helicopter,1999,1999-2002,-50,"$561 m deal (offsets $110 m); originally ordered 1992, but deal suspended 1994-1999 for financial reasons and as reaction to US policy towards Turkish actions against Kurds; S-70A-28 and S-70A-28D versions; Turkish designation Karaku"
aircraft,Turkey,2,S-70/UH-60L,Helicopter,2003,2004,-2,$27 m deal; Turkish designation Karaku
aircraft,Turkey,17,S-70B/SH-60B Seahawk,ASW helicopter,2006,2012-2014,-17,Part of $500 m deal (mainly financed with US loan; offsets 50%); delivery delayed from 2009-2010
aircraft,Turkey,46,Cessna-180 Skywagon,Light aircraft,2009,2009-2010,46,Cessna-T182T Skylane version; for training
aircraft,Turkey,3,AH-1W SuperCobra,Combat helicopter,2011,2012,3,Second-hand
aircraft,Turkey,6,CH-47F Chinook,Transport helicopter,-2011,2016,6,$400 m deal
aircraft,Turkey,5,King Air,Light transport ac,2012,2012,5,Second-hand King Air-350 version but modified to surveillance aircraft before delivery; $70 m 2-year lease (extended after 2 years)
aircraft,Turkey,4,CH-47F Chinook,Transport helicopter,2015,2018-2019,-4,Part of $131 m deal
aircraft,UAE,80,F-16E,FGA aircraft,2000,2004-2008,-80,$5 b deal (incl $400 m for engines; $3 b advance payments incl for development of avionics and radar; part of $6.8 b deal); incl 25 F-16F version
aircraft,UAE,2,C-130H-30 Hercules,Transport aircraft,2001,2001-2002,-2,Second-hand; L-100-30 version; modernized in UK before delivery
aircraft,UAE,8,Cessna-208 Caravan,Light transport ac,-2005,2005-2007,8,Cessna-208B version
aircraft,UAE,30,AH-64D Apache,Combat helicopter,2007,2008-2009,-30,Part of $1.5 b deal; UAE AH-64A rebuilt to AH-64D Longbow version
aircraft,UAE,4,Dash-8,Transport aircraft,2007,2007,4,Second-hand; for conversion to maritime patrol aircraft
aircraft,UAE,10,S-70/UH-60L,Helicopter,2007,2008,10,S-70A version
aircraft,UAE,4,CH-47F Chinook,Transport helicopter,2008,2010,4,
aircraft,UAE,10,S-70/UH-60L,Helicopter,-2008,2009-2010,-10,
aircraft,UAE,6,C-17A Globemaster-3,Heavy transport ac,-2009,2011-2012,-6,
aircraft,UAE,14,S-70/UH-60L,Helicopter,2009,2012-2013,-14,$209 m deal; UH-60M armed version
aircraft,UAE,24,AT-802U,Ground attack ac,2010,2010-2014,24,
aircraft,UAE,1,F-16E,FGA aircraft,2010,2012,1,
aircraft,UAE,26,S-70/UH-60L,Helicopter,2010,2011-2012,-26,Armed UH-60M version
aircraft,UAE,-12,CH-47F Chinook,Transport helicopter,2011,2012-2015,-12,
aircraft,UAE,30,Bell-407,Light helicopter,-2013,2014-2016,-30,Bell-407MRH or Bell-407GX armed version
aircraft,UAE,24,Archangel-BPA,Ground attack ac,2014,2015-2017,-24,Assembled in UAE
aircraft,UAE,-10,RQ-1 Predator,UAV,-2014,2017,-10,AED722 m ($200 m) deal; Predator XP (RQ-1E) version
aircraft,UAE,2,C-17A Globemaster-3,Heavy transport ac,2015,2015,2,AED2.3 b deal
aircraft,UAE,17,AH-64E Apache Guardian,Combat helicopter,2018,,,Including 8 UAE AH-64D rebuilt to AH-64E
aircraft,Uganda,1,L-39Z Albatros,Trainer/combat ac,-2009,2009,1,
aircraft,Uganda,2,Cessna-208 Caravan,Light transport ac,2014,2015,2,Aid; Cessna-208B version
aircraft,Uganda,5,Bell-205/UH-1 Huey-2,Helicopter,2016,2017,5,$35 m aid; second-hand UH-1H rebuilt to UH-1H-2 before delivery
aircraft,United Kingdom,15,C-130J-30 Hercules,Transport aircraft,1990,1999-2001,-15,Part of $1.56 b deal (offsets 100%); UK designation Hercules C-4
aircraft,United Kingdom,10,C-130J Hercules,Transport aircraft,1994,1998-2000,-10,Part of $1.56 b deal (offsets 100%); UK designation Hercules C-5
aircraft,United Kingdom,8,MH-47E Chinook,Transport helicopter,1995,2000-2001,-8,GBP259 m ($365 m) deal; delivery delayed from 1998 to 2001 because of technical problems and kept in storage after delivery (never used operationally); originally delivered as MH-47E (Chinook HC-3) armed special operations version but due to technical pro
aircraft,United Kingdom,4,C-17A Globemaster-3,Heavy transport ac,2000,2001,4,GBP650 m-GBP1 b 'STSA' 7-year lease (incl $230 m for training and support; bought after lease); C-17 Block-12 version
aircraft,United Kingdom,6,Bell-412,Helicopter,2002,2002-2003,-6,Operated by civilian company for the UK armed forces pilot training and for SAR at UK base on Cyprus; Bell-412EP version; UK designation Griffin HT-1 and HAR-3; from Canadian production line
aircraft,United Kingdom,7,King Air,Light transport ac,-2002,2003-2004,7,Bought and operated by civilian company for training of UK pilots; King Air B-200 version
aircraft,United Kingdom,1,C-17A Globemaster-3,Heavy transport ac,2006,2008,1,Delivery 2008
aircraft,United Kingdom,3,MQ-9 Reaper,Armed UAV,2006,2007-2008,3,Part of $77 m 'Project Dabinett'; for use in Afghanistan
aircraft,United Kingdom,1,C-17A Globemaster-3,Heavy transport ac,2007,2008,1,GBP130 m deal
aircraft,United Kingdom,3,King Air,Light transport ac,-2007,2009,-3,Bought and operated by civilian company for training of UK pilots; King Air B-200GT version
aircraft,United Kingdom,4,King Air-350 ISR,AGS aircraft,2007,2009,4,UK designation Shadow R-1; possibly incl for SIGINT; lease
aircraft,United Kingdom,4,King Air Maritime,MP aircraft,-2008,2011,4,For training; King Air-350ER version; UK designation Avenger T-1
aircraft,United Kingdom,2,MQ-9 Reaper,Armed UAV,2008,2009,2,For use in Afghanistan
aircraft,United Kingdom,1,MQ-9 Reaper,Armed UAV,2008,2010,1,For use in Afghanistan
aircraft,United Kingdom,1,C-17A Globemaster-3,Heavy transport ac,-2009,2010,1,
aircraft,United Kingdom,1,King Air-350 ISR,AGS aircraft,-2010,2011,1,UK designation Shadow R-1; possibly incl for SIGINT
aircraft,United Kingdom,5,MQ-9 Reaper,Armed UAV,-2010,2014,5,For use in Afghanistan
aircraft,United Kingdom,3,RC-135 Rivet Joint,SIGINT aircraft,2010,2013-2017,3,GBP680 m ($1 b) 'Project Helix' or 'Airseeker' deal; second-hand KC-135R tanker aircraft rebuilt to RC-135W
aircraft,United Kingdom,1,C-17A Globemaster-3,Heavy transport ac,2012,2012,1,GBP200 m deal
aircraft,United Kingdom,1,King Air,Light transport ac,-2012,2013,1,King Air-300C version; for training
aircraft,United Kingdom,-5,ScanEagle,UAV,2013,2014,-5,GBP30 m ($46 m) 'MarUAS' deal; leased and operated by producer for UK navy
aircraft,United Kingdom,9,P-8A Poseidon,ASW aircraft,2016,2019,1,GBP3 b ($3.9 b) deal; UK designation Poseidon MRA-1; delivery planned 2019-2021
aircraft,United Kingdom,10,PC-9,Trainer aircraft,2016,2018,10,Part of 'MFTS' programme; for UK company for training UK armed forces in 'MFTS' programme; T-6C version; UK designation Texan T-1
aircraft,United Kingdom,16,Protector CPB,Armed UAV,2016,,,GBP415 m ($607 m) 'Protector' programme; Certifiable Protector-B version; delivery planned from 2021
aircraft,Unknown recipient(s),-6,RQ-21A Blackjack,UAV,2013,2014-2015,-6,Recipient is Middle Eastern country
aircraft,Uruguay,1,Bell-212/UH-1N,Helicopter,2019,2019,1,Second-hand; aid
aircraft,Venezuela,-3,Bell-412,Helicopter,-2001,2003,-3,Bell-412EP version; from Canadian production line
aircraft,Venezuela,4,F-28,Light helicopter,2001,2002,4,F-280FX version; for National Guard; for training
aircraft,Venezuela,16,Enstrom-480,Light helicopter,2014,2015,-16,Probably $41 m deal; TH-480B version; for training
aircraft,Yemen,4,Bell-205/UH-1 Huey-2,Helicopter,2-Jul,2011,4,$27 m aid; second-hand UH-1H rebuilt to UH-1H-2
aircraft,Yemen,2,Cessna-208 Caravan,Light transport ac,2012,2013,2,Cessna-208B-ISR surveillance version or AC-208B armed version; aid
aircraft,Yemen,-1,King Air-350 ISR,AGS aircraft,2014,2015,-1,Designation uncertain (possibly King Air-350 SPYDR version)
air defense system,Germany,-13,Patriot PAC-3,SAM/ABM system,-2000,2008-2010,-13,FRG Patriot SAM systems rebuilt to Patriot-3 version
air defense system,Poland,4,Patriot PAC-3,SAM/ABM system,2018,,,PLN16.6 b deal (incl production of components in Poland); part of 'Wisla' programme (part of 'Shield of Poland' programme); delivery planned 2022-2025
air defense system,Bahrain,-2,Patriot PAC-3,SAM/ABM system,2019,,,
air defense system,Chile,66,M-167 Vulcan,AA gun,1997,1999-2000,-66,Second-hand; aid
air defense system,Chile,44,M-163 VADS,SPAAG,1999,1999-2000,-44,Second-hand; aid
air defense system,Egypt,8,I-HAWK,SAM system,-1996,1998-2001,-8,Second-hand; $206 m deal; modernized before delivery
air defense system,Egypt,40,M-48 Chaparral,Mobile SAM system,1999,2000,-40,Second-hand
air defense system,Egypt,25,Avenger,Mobile AD system,2000,2001,-25,$25 m deal
air defense system,Egypt,60,M-48 Chaparral,Mobile SAM system,2000,2000,60,Second-hand; $7 m deal
air defense system,Egypt,-25,Avenger,Mobile AD system,2006,2008,-25,$50 m deal
air defense system,Greece,-6,Patriot,SAM system,1999,2002-2004,-6,$1.1 b deal (offsets 120%)
air defense system,Iraq,8,Avenger,Mobile AD system,-2012,2013-2014,-8,Part of $105 m deal; 'ISFF' aid
air defense system,Japan,2,AEGIS Ashore,ABM system,2019,,,$3.2 b deal; delivery planned by 2023
air defense system,Kuwait,-6,Patriot PAC-3,SAM/ABM system,2008,2014-2016,-6,Kuwaiti Patriot SAM systems rebuilt to Patriot PAC-3
air defense system,Kuwait,-2,Patriot PAC-3,SAM/ABM system,2014,2017-2018,-2,$655 m deal; probably Patriot PAC-3+ version
air defense system,Netherlands,4,Patriot PAC-3,SAM/ABM system,-2000,2006,-4,Dutch Patriot SAM systems rebuilt to Patriot-3 version
air defense system,Oman,-18,Avenger,Mobile AD system,-2013,2016,-18,Part of $2.1 b deal
air defense system,Qatar,10,Patriot PAC-3,SAM/ABM system,2014,2015-2019,-10,QAT27.5 b ($7.6 b) deal
air defense system,Qatar,-2,Patriot PAC-3,SAM/ABM system,2019,,,Part of $2.2 b deal
air defense system,Romania,-7,Patriot PAC-3,SAM/ABM system,2017,,,$4.6 b 'HISAM' programme; Patriot Configuration-3+ version
air defense system,Saudi Arabia,21,Patriot PAC-3,SAM/ABM system,2011,2014-2017,-21,$1.7 b deal; Saudi Patriot SAM systems rebuilt to Patriot-3 version
air defense system,Saudi Arabia,-3,Patriot PAC-3,SAM/ABM system,2015,2017-2019,-3,$2 b deal
air defense system,Saudi Arabia,-7,THAAD,ABM system,2018,,,
air defense system,South Korea,8,Patriot PAC-3,SAM/ABM system,-2015,2017-2019,-6,South Korean Patriot PAC-2 SAM system rebuilt to Patriot PAC-3 SAM/ABM system
air defense system,Sweden,4,Patriot PAC-3,SAM/ABM system,2018,,,Swedish designation EldE-103
air defense system,Taiwan,4,Patriot PAC-3,SAM/ABM system,2009,2014-2015,-4,$1.1 b deal (incl $134 m for spares; part of $3.2 b deal)
air defense system,Taiwan,3,Patriot PAC-3,SAM/ABM system,2009,2011-2012,-3,$600 m deal; Taiwanese Patriot SAM systems rebuilt to Patriot-3 version
air defense system,Tunisia,20,M-48 Chaparral,Mobile SAM system,1998,2002,20,Second-hand; aid
air defense system,Turkey,8,I-HAWK,SAM system,2002,2005,-8,Second-hand; $100 m deal; modernized (partly in Norway) to I-HAWK PIP-3 before delivery
air defense system,UAE,-9,Patriot PAC-3,SAM/ABM system,2008,2012-2014,-9,
air defense system,UAE,2,THAAD,ABM system,2011,2015-2016,-2,$2.5 b deal
air defense system,UAE,Patriot PAC-3,SAM/ABM system,2018,$1.6 b deal,,,
air defense system,United Kingdom,-2,C-RAM/Centurion,CIWS,2007,2007,-2,Leased from USA; for use in Iraq; more modified from UK naval Phalanx systems
artillery,Egypt,24,M-109/SP-122 122mm,Self-propelled gun,1999,2000,24,$27 m deal; designed for Egypt with Egyptian gun
artillery,Japan,-99,M-270 MLRS 227mm,Self-propelled MRL,1993,1995-2006,-99,
artillery,Argentina,25,M-106,Self-propelled mortar,1999,2000,-25,Second-hand; 'EDA' aid
artillery,Bahrain,-20,M-109A5 155mm,Self-propelled gun,-2004,2005,20,Possibly second-hand
artillery,Bahrain,1,M-106,Self-propelled mortar,-2011,2017,1,Second-hand; M-106A2 version; probably for spares only
artillery,Bahrain,12,M-198 155mm,Towed gun,2012,2017,12,Second-hand
artillery,Brazil,32,M-109A5 155mm,Self-propelled gun,2013,2019,-32,Second-hand M-109A5 version as aid but modernized to M-109A+BR before delivery in $54 m deal
artillery,Brazil,4,M-109A5 155mm,Self-propelled gun,2013,2015,4,Second-hand; aid; for training
artillery,Brazil,-36,M-109A5 155mm,Self-propelled gun,2017,2018,36,Second-hand; aid (24 more delivered for spare parts)
artillery,Chile,12,M-109A5 155mm,Self-propelled gun,2010,2012,12,Second-hand but modernized in $16 m deal before delivery
artillery,Chile,12,M-109A5 155mm,Self-propelled gun,-2013,2015,12,Second-hand but modernized before delivery
