category,recipient,ordered,designation,description,year ordered, year delivered,delivered,comments
aircraft,Japan,-40,S-70/UH-60L,Helicopter,-2010,2013-2018,-14,JPY190 b ($2.3 b) programme; UH-60J version; for SAR
aircraft,Japan,-150,Bell-412,Helicopter,2015,,,JPY193 b ($1.6 b) 'UH-X' programme; Bell-412EPI version; produced in Japan; delivery planned from 2021
aircraft,Japan,-6,KC-46A Pegasus,Tanker/transport aircraft,2017,,,Selected 2015 and 2019 but only 2 ordered by end-2019 (incl production of components in Japan); delivery planned from 2020
aircraft,Netherlands,37,F-35A Lightning-2,FGA aircraft,30-Jun,2012-2019,-10,Incl production of components in Netherlands and 29 from Italian production line; delivery planned 2014-2023
aircraft,Norway,-52,F-35A Lightning-2,FGA aircraft,-2008,2015-2019,-22,NOK63 b deal ($11.2 b; incl production of components in Norway); delivery planned 2015-2024
aircraft,Peru,1,BD-4,Light aircraft,-2009,2009,-1,BD-4C (BD-4LSA) version; for training; Peruvian designation Kuntur
aircraft,Philippines,2,Bell-205/UH-1 Huey-2,Helicopter,1997,2005,-2,Philippine UH-1H rebuilt to Huey-2; assembled from kits in Philippines
aircraft,Poland,48,F-16C Block-50/52,FGA aircraft,25-Jun,2006-2008,-48,$3.5 b 'Peace Sky-1' deal ($4.7 b incl interest; offsets $6 b incl production of components in Poland); F-16 Block-52M+ version; incl 12 F-16D version; Polish designation Jastrzab
aircraft,Poland,4,S-70/UH-60L,Helicopter,2019,2019,4,PLZ683 m ($159-177 m) deal (incl production in Poland); S-70i version
aircraft,South Korea,120,F-16C Block-50/52,FGA aircraft,1991,1994-2001,-120,$2.5-5.2 b 'Peace Bridge-2' or 'Korean Fighter Programme' (KFP) deal (incl production of components for all 120 and 36 assembled from kits and 72 produced in South Korea; up to 51% value produced in South Korea); F-16 Block-52 version; incl some F-16D; South Korean designation KF-16
aircraft,South Korea,20,F-16C Block-50/52,FGA aircraft,2000,2003-2004,-20,$663 m 'Korean Fighter Programme-2' (KFP-2) deal (78% value produced in South Korea); F-16 Block-52 version; incl 5 F-16D; for use as reconnaissance aircraft; South Korean designation KF-16
aircraft,South Korea,40,F-15E Strike Eagle,FGA aircraft,2002,2005-2008,-40,$4.2 b 'F-X' programme (offsets 65-83% incl production of components for 32 F-15K and all production of AH-64 combat helicopter fuselages in South Korea); F-15K Slam Eagle version
aircraft,South Korea,4,Boeing-737 AEW&C,AEW&C aircraft,2006,2011-2012,4,$1.6-1.7 b 'E-X' or 'Peace Eye' programme (incl assembly of 3 in South Korea)
aircraft,South Korea,21,F-15E Strike Eagle,FGA aircraft,2008,2010-2012,21,$2.3 b 'Next Fighter-2' deal; F-15K Slam Eagle version
aircraft,South Korea,4,RQ-4A Global Hawk,UAV,2014,2019,-1,$657 m deal (incl production of components in South Korea); RQ-4B Block-30 version
aircraft,Turkey,4,Boeing-737 AEW&C,AEW&C aircraft,24-Jun,2014-2015,4,$1 b 'Peace Eagle' programme ($500-930 m offsets incl production of components and assembly of 3 in Turkey; originally $1.5 b but reduced with $500 m penalties for delayed delivery from 2007 to 2014-2015); option on 2 more
aircraft,Turkey,30,F-16C Block-50/52,FGA aircraft,2007,2011-2012,-30,$1.8 b 'Peace Onyx-4' deal; F-16C Block-50+ version; incl 16 F-16D
aircraft,Turkey,-2,F-35A Lightning-2,FGA aircraft,-2014,2018,-2,$11-16 b deal (incl production of components in Turkey to 50% of value of deal); originally up to 100 planned of which 30 ordered by 2018; delivery originally planned 2018-2030 but deliveries suspended indefinitely in 2019; fate of first 2 delivered in 2018 for training in USA unclear
aircraft,Turkey,69,S-70/UH-60L,Helicopter,2014,,,$3.5 b 'H-27' of 'TUHP 'programme (incl 40 more for police and other government agencies); T-70i version; produced in Turkey; delivery planned from 2021
aircraft,United Kingdom,67,AH-64D Apache,Combat helicopter,1996,2000-2004,-67,$2.8-3.95 b deal (offsets 100% incl assembly and production of components in UK); WAH-64D Apache AH-1 version
aircraft,United Kingdom,-138,F-35B Lightning-2,FGA aircraft,-2006,2012-2019,-18,'FCJA' or 'JCA' programme; incl production of components in UK
aircraft,United Kingdom,14,CH-47F Chinook,Transport helicopter,2011,2014-2015,14,GBP1 b ($1.6 b) 'FRC Land Lift (Heavy)' programme (incl 5 years support; offsets incl production of components in UK); UK designation Chinook HC-6
aircraft,United Kingdom,-50,AH-64E Apache Guardian,Combat helicopter,2016,,,Incl production of components in UK and components from deleted UK WAH-64D helicopters; delivery planned 2020-2030
aircraft,United Kingdom,5,Boeing-737 AEW&C,AEW&C aircraft,2019,,,GBP1.5 b ($2 b) deal; incl production of components in UK
aircraft,Afghanistan,6,Cessna-180 Skywagon,Light aircraft,3-Jul,2011,-6,Part of $88 m deal; Cessna-182T version; for training
aircraft,Afghanistan,6,MD-500E,Light helicopter,2011,2011,6,$17-20 m aid; MD-530F version; incl for training (but armed 2015)
aircraft,Afghanistan,4,C-130H Hercules,Transport aircraft,-2012,2013-2015,4,Second-hand; aid
aircraft,Afghanistan,12,MD-500E,Light helicopter,2014,2015,12,Armed MD-530F version
aircraft,Afghanistan,12,MD-500E,Light helicopter,-2015,2016,12,Armed MD-530F version
aircraft,Afghanistan,65,ScanEagle,UAV,2015,2016-2018,-65,$71 m deal
aircraft,Afghanistan,53,S-70/UH-60A,Helicopter,2016,2017-2019,-53,Second-hand but modernized to UH-60A+ before delivery; aid
